id,name,name_en,description,description_en,full_video_url,full_video_image_url,introduction,introduction_en,slug,slug_en,attribute_name,attribute_value
1,"Pompes diamant","Diamond Push-Ups","<p>Placez les mains en <strong>diamant</strong> sous la poitrine, le corps <em>gainé</em> de la tête aux talons.</p><p>Fléchissez les coudes puis poussez en gardant les épaules stables.</p>","<p>Place hands in a <strong>diamond</strong> under the chest with a tight, straight body line.</p><p>Bend the elbows then press up while keeping the shoulders stable.</p>",https://www.youtube.com/watch?v=dluhsF6hP2w,https://img.youtube.com/vi/dluhsF6hP2w/maxresdefault.jpg,"Pompes ciblant intensément les triceps.","Triceps‑focused push-up variation.","pompes-diamant","diamond-push-ups",TYPE,STRENGTH
1,"Pompes diamant","Diamond Push-Ups","<p>Placez les mains en <strong>diamant</strong> sous la poitrine, le corps <em>gainé</em> de la tête aux talons.</p><p>Fléchissez les coudes puis poussez en gardant les épaules stables.</p>","<p>Place hands in a <strong>diamond</strong> under the chest with a tight, straight body line.</p><p>Bend the elbows then press up while keeping the shoulders stable.</p>",https://www.youtube.com/watch?v=dluhsF6hP2w,https://img.youtube.com/vi/dluhsF6hP2w/maxresdefault.jpg,"Pompes ciblant intensément les triceps.","Triceps‑focused push-up variation.","pompes-diamant","diamond-push-ups",PRIMARY_MUSCLE,TRICEPS
1,"Pompes diamant","Diamond Push-Ups","<p>Placez les mains en <strong>diamant</strong> sous la poitrine, le corps <em>gainé</em> de la tête aux talons.</p><p>Fléchissez les coudes puis poussez en gardant les épaules stables.</p>","<p>Place hands in a <strong>diamond</strong> under the chest with a tight, straight body line.</p><p>Bend the elbows then press up while keeping the shoulders stable.</p>",https://www.youtube.com/watch?v=dluhsF6hP2w,https://img.youtube.com/vi/dluhsF6hP2w/maxresdefault.jpg,"Pompes ciblant intensément les triceps.","Triceps‑focused push-up variation.","pompes-diamant","diamond-push-ups",SECONDARY_MUSCLE,CHEST
1,"Pompes diamant","Diamond Push-Ups","<p>Placez les mains en <strong>diamant</strong> sous la poitrine, le corps <em>gainé</em> de la tête aux talons.</p><p>Fléchissez les coudes puis poussez en gardant les épaules stables.</p>","<p>Place hands in a <strong>diamond</strong> under the chest with a tight, straight body line.</p><p>Bend the elbows then press up while keeping the shoulders stable.</p>",https://www.youtube.com/watch?v=dluhsF6hP2w,https://img.youtube.com/vi/dluhsF6hP2w/maxresdefault.jpg,"Pompes ciblant intensément les triceps.","Triceps‑focused push-up variation.","pompes-diamant","diamond-push-ups",EQUIPMENT,BODYWEIGHT
1,"Pompes diamant","Diamond Push-Ups","<p>Placez les mains en <strong>diamant</strong> sous la poitrine, le corps <em>gainé</em> de la tête aux talons.</p><p>Fléchissez les coudes puis poussez en gardant les épaules stables.</p>","<p>Place hands in a <strong>diamond</strong> under the chest with a tight, straight body line.</p><p>Bend the elbows then press up while keeping the shoulders stable.</p>",https://www.youtube.com/watch?v=dluhsF6hP2w,https://img.youtube.com/vi/dluhsF6hP2w/maxresdefault.jpg,"Pompes ciblant intensément les triceps.","Triceps‑focused push-up variation.","pompes-diamant","diamond-push-ups",MECHANICS_TYPE,COMPOUND
2,"Pompes inclinées scapulaires","Scapular Incline Push-Ups","<p>Sur un support incliné, gardez les bras tendus et <strong>protractez</strong>/<strong>rétractez</strong> les omoplates.</p><p>Conservez le tronc <em>gainé</em> sans fléchir les coudes.</p>","<p>On an incline, keep arms straight and <strong>protract</strong>/<strong>retract</strong> the shoulder blades.</p><p>Maintain a <em>braced</em> core without bending the elbows.</p>",https://www.youtube.com/watch?v=euOnqFymRqo,https://img.youtube.com/vi/euOnqFymRqo/maxresdefault.jpg,"Mouvement pour activer le serratus et stabiliser l’épaule.","Drill to engage serratus and improve shoulder stability.","pompes-inclinees-scapulaires","scapular-incline-push-ups",TYPE,STRENGTH
2,"Pompes inclinées scapulaires","Scapular Incline Push-Ups","<p>Sur un support incliné, gardez les bras tendus et <strong>protractez</strong>/<strong>rétractez</strong> les omoplates.</p><p>Conservez le tronc <em>gainé</em> sans fléchir les coudes.</p>","<p>On an incline, keep arms straight and <strong>protract</strong>/<strong>retract</strong> the shoulder blades.</p><p>Maintain a <em>braced</em> core without bending the elbows.</p>",https://www.youtube.com/watch?v=euOnqFymRqo,https://img.youtube.com/vi/euOnqFymRqo/maxresdefault.jpg,"Mouvement pour activer le serratus et stabiliser l’épaule.","Drill to engage serratus and improve shoulder stability.","pompes-inclinees-scapulaires","scapular-incline-push-ups",PRIMARY_MUSCLE,SHOULDERS
2,"Pompes inclinées scapulaires","Scapular Incline Push-Ups","<p>Sur un support incliné, gardez les bras tendus et <strong>protractez</strong>/<strong>rétractez</strong> les omoplates.</p><p>Conservez le tronc <em>gainé</em> sans fléchir les coudes.</p>","<p>On an incline, keep arms straight and <strong>protract</strong>/<strong>retract</strong> the shoulder blades.</p><p>Maintain a <em>braced</em> core without bending the elbows.</p>",https://www.youtube.com/watch?v=euOnqFymRqo,https://img.youtube.com/vi/euOnqFymRqo/maxresdefault.jpg,"Mouvement pour activer le serratus et stabiliser l’épaule.","Drill to engage serratus and improve shoulder stability.","pompes-inclinees-scapulaires","scapular-incline-push-ups",SECONDARY_MUSCLE,CHEST
2,"Pompes inclinées scapulaires","Scapular Incline Push-Ups","<p>Sur un support incliné, gardez les bras tendus et <strong>protractez</strong>/<strong>rétractez</strong> les omoplates.</p><p>Conservez le tronc <em>gainé</em> sans fléchir les coudes.</p>","<p>On an incline, keep arms straight and <strong>protract</strong>/<strong>retract</strong> the shoulder blades.</p><p>Maintain a <em>braced</em> core without bending the elbows.</p>",https://www.youtube.com/watch?v=euOnqFymRqo,https://img.youtube.com/vi/euOnqFymRqo/maxresdefault.jpg,"Mouvement pour activer le serratus et stabiliser l’épaule.","Drill to engage serratus and improve shoulder stability.","pompes-inclinees-scapulaires","scapular-incline-push-ups",EQUIPMENT,BODYWEIGHT
2,"Pompes inclinées scapulaires","Scapular Incline Push-Ups","<p>Sur un support incliné, gardez les bras tendus et <strong>protractez</strong>/<strong>rétractez</strong> les omoplates.</p><p>Conservez le tronc <em>gainé</em> sans fléchir les coudes.</p>","<p>On an incline, keep arms straight and <strong>protract</strong>/<strong>retract</strong> the shoulder blades.</p><p>Maintain a <em>braced</em> core without bending the elbows.</p>",https://www.youtube.com/watch?v=euOnqFymRqo,https://img.youtube.com/vi/euOnqFymRqo/maxresdefault.jpg,"Mouvement pour activer le serratus et stabiliser l’épaule.","Drill to engage serratus and improve shoulder stability.","pompes-inclinees-scapulaires","scapular-incline-push-ups",MECHANICS_TYPE,COMPOUND
